X,Y,l1_leaf_types,l2_genus,l3_species
556077.9905,5917516.812,needleleaf,fir,silver fir
518916.3362,5933284.567,needleleaf,fir,silver fir
601703.241,5900359.878,needleleaf,fir,silver fir
621969.4433,5888983.839,needleleaf,fir,silver fir
572377.5656,5908114.503,needleleaf,fir,silver fir
562538.2454,5910901.437,needleleaf,fir,silver fir
529801.2905,5905098.282,needleleaf,fir,silver fir
627966.8867,5885419.325,needleleaf,fir,silver fir
604009.8945,5898040.796,needleleaf,fir,silver fir
525819.6417,5879754.985,needleleaf,fir,silver fir
556096.3176,5917442.466,needleleaf,fir,silver fir
628022.4276,5885421.579,needleleaf,fir,silver fir
628015.9792,5885444.784,needleleaf,fir,silver fir
555597.1513,5917573.397,needleleaf,fir,silver fir
518767.6159,5933386.083,needleleaf,fir,silver fir
601776.2336,5900411.493,needleleaf,fir,silver fir
528492.3816,5905466.717,needleleaf,fir,silver fir
556139.5541,5917497.823,needleleaf,fir,silver fir
601751.1159,5900404.876,needleleaf,fir,silver fir
622042.09,5889005.992,needleleaf,fir,silver fir
554540.2636,5914921.741,needleleaf,fir,silver fir
645171.4867,5885676.509,needleleaf,fir,silver fir
621794.1436,5888741.836,needleleaf,fir,silver fir
621987.7559,5889027.336,needleleaf,fir,silver fir
562492.8389,5910937.706,needleleaf,fir,silver fir
554115.457,5913331.071,needleleaf,fir,silver fir
554549.3324,5914946.379,needleleaf,fir,silver fir
605471.9446,5894696.194,needleleaf,fir,silver fir
562445.3309,5910725.193,needleleaf,fir,silver fir
600513.1505,5881278.872,needleleaf,fir,silver fir
622073.8753,5889058.462,needleleaf,fir,silver fir
595571.1544,5885484.028,needleleaf,fir,silver fir
528436.6516,5905159.308,needleleaf,fir,silver fir
621855.5503,5888718.388,needleleaf,fir,silver fir
607393.7926,5871575.438,needleleaf,fir,silver fir
601817.8386,5900379.459,needleleaf,fir,silver fir
621816.168,5888733.924,needleleaf,fir,silver fir
562500.6873,5910959.185,needleleaf,fir,silver fir
595466.3013,5885572.581,needleleaf,fir,silver fir
518905.9358,5933519.989,needleleaf,fir,silver fir
621836.9648,5888680.438,needleleaf,fir,silver fir
621868.3835,5888699.726,needleleaf,fir,silver fir
605471.7298,5894727.4,needleleaf,fir,silver fir
555638.1595,5917603.24,needleleaf,fir,silver fir
528338.5122,5905191.454,needleleaf,fir,silver fir
627662.1488,5885502.526,needleleaf,fir,silver fir
532743.8781,5929125.039,needleleaf,fir,silver fir
556535.6252,5917604.215,broadleaf,long-lived deciduous,sycamore maple
558458.1118,5920660.056,broadleaf,long-lived deciduous,sycamore maple
518714.9624,5905440.597,broadleaf,long-lived deciduous,sycamore maple
532669.5115,5924081.545,broadleaf,long-lived deciduous,sycamore maple
529498.9533,5904731.401,broadleaf,long-lived deciduous,sycamore maple
525710.338,5880445.301,broadleaf,long-lived deciduous,sycamore maple
607184.8487,5870427.041,broadleaf,long-lived deciduous,sycamore maple
530224.687,5884889.58,broadleaf,long-lived deciduous,sycamore maple
603955.7487,5897677.289,broadleaf,long-lived deciduous,sycamore maple
536815.6793,5922800.401,broadleaf,long-lived deciduous,sycamore maple
523768.8368,5888478.488,broadleaf,long-lived deciduous,sycamore maple
600798.1376,5880926.878,broadleaf,long-lived deciduous,sycamore maple
641604.2284,5864020.053,broadleaf,long-lived deciduous,sycamore maple
557691.838,5918549.769,broadleaf,long-lived deciduous,sycamore maple
539811.3566,5876436.445,broadleaf,long-lived deciduous,sycamore maple
536241.924,5881487.883,broadleaf,long-lived deciduous,sycamore maple
536682.6611,5922681.604,broadleaf,long-lived deciduous,sycamore maple
555885.8311,5917005.362,broadleaf,long-lived deciduous,sycamore maple
600991.3142,5881334.867,broadleaf,long-lived deciduous,sycamore maple
589824.5076,5892211.261,broadleaf,long-lived deciduous,sycamore maple
562376.9783,5893756.453,broadleaf,long-lived deciduous,sycamore maple
535701.7161,5922619.729,broadleaf,long-lived deciduous,sycamore maple
621667.1322,5898648.807,broadleaf,long-lived deciduous,sycamore maple
611963.9133,5889587.661,broadleaf,long-lived deciduous,sycamore maple
562155.633,5916504.744,broadleaf,long-lived deciduous,sycamore maple
521150.4418,5939314.262,broadleaf,long-lived deciduous,sycamore maple
595196.584,5884625.264,broadleaf,long-lived deciduous,sycamore maple
621387.4366,5900648.798,broadleaf,long-lived deciduous,sycamore maple
557246.505,5918124.632,broadleaf,long-lived deciduous,sycamore maple
562304.9855,5893736.294,broadleaf,long-lived deciduous,sycamore maple
550857.9845,5902628.324,broadleaf,long-lived deciduous,sycamore maple
530208.802,5885106.452,broadleaf,long-lived deciduous,sycamore maple
556141.0852,5916818.834,broadleaf,long-lived deciduous,sycamore maple
561344.018,5916779.155,broadleaf,long-lived deciduous,sycamore maple
540350.6987,5864581.848,broadleaf,long-lived deciduous,sycamore maple
530796.271,5919157.766,broadleaf,long-lived deciduous,sycamore maple
536872.3408,5922793.146,broadleaf,long-lived deciduous,sycamore maple
530260.5149,5885147.749,broadleaf,long-lived deciduous,sycamore maple
556428.3841,5917511.694,broadleaf,long-lived deciduous,sycamore maple
562016.9885,5916662.676,broadleaf,long-lived deciduous,sycamore maple
621596.5817,5898662.15,broadleaf,long-lived deciduous,sycamore maple
532640.1508,5924108.312,broadleaf,long-lived deciduous,sycamore maple
557218.1907,5918089.173,broadleaf,long-lived deciduous,sycamore maple
524981.0885,5884990.106,broadleaf,long-lived deciduous,sycamore maple
563696.1929,5910196.156,broadleaf,long-lived deciduous,sycamore maple
609931.3422,5907840.092,broadleaf,long-lived deciduous,sycamore maple
536702.5294,5922655.45,broadleaf,long-lived deciduous,sycamore maple
660210.0473,5867037.911,broadleaf,long-lived deciduous,sycamore maple
600498.8605,5881115.204,broadleaf,long-lived deciduous,sycamore maple
555484.6936,5916436.365,broadleaf,long-lived deciduous,sycamore maple
621016.2792,5900211.368,broadleaf,long-lived deciduous,sycamore maple
536482.9628,5922506.444,broadleaf,long-lived deciduous,sycamore maple
601011.4529,5881345.124,broadleaf,long-lived deciduous,sycamore maple
521151.44,5939334.49,broadleaf,long-lived deciduous,sycamore maple
520628.8735,5940097.487,broadleaf,long-lived deciduous,sycamore maple
535736.8628,5905593.678,broadleaf,long-lived deciduous,sycamore maple
559057.1721,5892441.513,broadleaf,long-lived deciduous,sycamore maple
639458.8666,5864857.242,broadleaf,long-lived deciduous,sycamore maple
536864.6347,5922757.472,broadleaf,long-lived deciduous,sycamore maple
524195.5376,5908862.083,broadleaf,long-lived deciduous,sycamore maple
599591.9982,5911972.637,broadleaf,long-lived deciduous,sycamore maple
584134.0285,5905866.789,broadleaf,long-lived deciduous,sycamore maple
621278.4195,5900483.617,broadleaf,long-lived deciduous,sycamore maple
639438.363,5864810.034,broadleaf,long-lived deciduous,sycamore maple
580184.1159,5883641.228,broadleaf,long-lived deciduous,sycamore maple
595424.7643,5884749.838,broadleaf,long-lived deciduous,sycamore maple
598940.6979,5908333.307,broadleaf,long-lived deciduous,sycamore maple
562098.8062,5916620.288,broadleaf,long-lived deciduous,sycamore maple
563322.6291,5909696.01,broadleaf,long-lived deciduous,sycamore maple
539311.986,5864389.297,broadleaf,long-lived deciduous,sycamore maple
633862.971,5863617.722,broadleaf,long-lived deciduous,sycamore maple
536846.5076,5922811.636,broadleaf,long-lived deciduous,sycamore maple
602479.5131,5882570.74,broadleaf,long-lived deciduous,sycamore maple
610182.2468,5908290.958,broadleaf,long-lived deciduous,sycamore maple
530094.8102,5884932.626,broadleaf,long-lived deciduous,sycamore maple
556837.4743,5917336.497,broadleaf,long-lived deciduous,sycamore maple
562686.0325,5911173.216,broadleaf,long-lived deciduous,sycamore maple
598911.2016,5908357.52,broadleaf,long-lived deciduous,sycamore maple
639461.32,5864882.37,broadleaf,long-lived deciduous,sycamore maple
542694.9739,5924290.045,broadleaf,long-lived deciduous,sycamore maple
603454.5227,5882341.752,broadleaf,long-lived deciduous,sycamore maple
542744.1147,5924200.386,broadleaf,long-lived deciduous,sycamore maple
536653.5916,5922686.926,broadleaf,long-lived deciduous,sycamore maple
621658.0262,5899871.868,broadleaf,long-lived deciduous,sycamore maple
597555.0591,5875306.752,broadleaf,long-lived deciduous,sycamore maple
621036.0133,5900181.853,broadleaf,long-lived deciduous,sycamore maple
621255.8029,5899080.469,broadleaf,long-lived deciduous,sycamore maple
600307.0485,5911803.783,broadleaf,long-lived deciduous,sycamore maple
603724.8401,5904856.482,broadleaf,long-lived deciduous,sycamore maple
639615.9516,5864903.19,broadleaf,long-lived deciduous,sycamore maple
539879.801,5869007.107,broadleaf,long-lived deciduous,sycamore maple
562717.5014,5911174.306,broadleaf,long-lived deciduous,sycamore maple
600635.4135,5901330.669,broadleaf,long-lived deciduous,sycamore maple
530124.653,5884885.445,broadleaf,long-lived deciduous,sycamore maple
621093.3042,5900185.295,broadleaf,long-lived deciduous,sycamore maple
531783.1756,5919180.496,broadleaf,long-lived deciduous,sycamore maple
584117.0063,5905822.385,broadleaf,long-lived deciduous,sycamore maple
594877.2101,5912714.224,broadleaf,long-lived deciduous,sycamore maple
603802.3724,5904891.144,broadleaf,long-lived deciduous,sycamore maple
555972.6072,5916975.943,broadleaf,long-lived deciduous,sycamore maple
536761.3348,5908016.699,broadleaf,long-lived deciduous,sycamore maple
531841.0639,5919190.456,broadleaf,long-lived deciduous,sycamore maple
555488.4818,5916386.373,broadleaf,long-lived deciduous,sycamore maple
600832.3862,5880916.567,broadleaf,long-lived deciduous,sycamore maple
557113.2311,5919402.239,broadleaf,long-lived deciduous,sycamore maple
595190.2631,5884603.435,broadleaf,long-lived deciduous,sycamore maple
530400.5093,5884992.575,broadleaf,long-lived deciduous,sycamore maple
613820.2886,5908973.08,broadleaf,long-lived deciduous,sycamore maple
561268.0013,5916594.12,broadleaf,long-lived deciduous,sycamore maple
621743.1246,5898646.443,broadleaf,long-lived deciduous,sycamore maple
584185.8438,5905887.67,broadleaf,long-lived deciduous,sycamore maple
556811.7894,5917378.91,broadleaf,long-lived deciduous,sycamore maple
639565.8487,5864908.395,broadleaf,long-lived deciduous,sycamore maple
530162.9965,5884893.642,broadleaf,long-lived deciduous,sycamore maple
539313.3341,5864336.303,broadleaf,long-lived deciduous,sycamore maple
536402.8196,5881579.098,broadleaf,long-lived deciduous,sycamore maple
554414.4735,5911379.425,broadleaf,long-lived deciduous,sycamore maple
610167.369,5908360.144,broadleaf,long-lived deciduous,sycamore maple
532675.2436,5924053.495,broadleaf,long-lived deciduous,sycamore maple
660221.7208,5867063.31,broadleaf,long-lived deciduous,sycamore maple
556832.1528,5917409.53,broadleaf,long-lived deciduous,sycamore maple
648029.7721,5876735.94,broadleaf,short-lived deciduous,alder
644593.5549,5886404.301,broadleaf,short-lived deciduous,alder
650192.2719,5879109.974,broadleaf,short-lived deciduous,alder
578696.1995,5867311.842,broadleaf,short-lived deciduous,alder
582251.787,5907352.008,broadleaf,short-lived deciduous,alder
651243.7965,5870504.084,broadleaf,short-lived deciduous,alder
648405.8496,5877142.315,broadleaf,short-lived deciduous,alder
583560.366,5906488.837,broadleaf,short-lived deciduous,alder
578679.5902,5867257.965,broadleaf,short-lived deciduous,alder
523499.0638,5884927.787,broadleaf,short-lived deciduous,alder
645325.5018,5876291.02,broadleaf,short-lived deciduous,alder
645728.599,5875921.1,broadleaf,short-lived deciduous,alder
649747.6658,5878341.32,broadleaf,short-lived deciduous,alder
584148.4358,5910195.804,broadleaf,short-lived deciduous,alder
522910.1427,5887948.389,broadleaf,short-lived deciduous,alder
583220.4895,5907945.514,broadleaf,short-lived deciduous,alder
610613.1462,5908309.735,broadleaf,short-lived deciduous,alder
583213.2249,5907412.886,broadleaf,short-lived deciduous,alder
582554.6312,5907567.548,broadleaf,short-lived deciduous,alder
586946.9529,5908517.192,broadleaf,short-lived deciduous,alder
532923.713,5907474.339,broadleaf,short-lived deciduous,alder
648642.5931,5872447.552,broadleaf,short-lived deciduous,alder
610860.3846,5908239.3,broadleaf,short-lived deciduous,alder
649681.3013,5878815.045,broadleaf,short-lived deciduous,alder
609754.655,5908347.023,broadleaf,short-lived deciduous,alder
649517.6968,5878291.481,broadleaf,short-lived deciduous,alder
517189.4844,5927930.605,broadleaf,short-lived deciduous,alder
662510.5778,5866264.384,broadleaf,short-lived deciduous,alder
610125.6375,5907963.655,broadleaf,short-lived deciduous,alder
609862.25,5908037.593,broadleaf,short-lived deciduous,alder
649748.4956,5879144.582,broadleaf,short-lived deciduous,alder
525226.3256,5885692.176,broadleaf,short-lived deciduous,alder
536467.6206,5880167.207,broadleaf,short-lived deciduous,alder
583811.7666,5906157.15,broadleaf,short-lived deciduous,alder
524257.429,5884914.916,broadleaf,short-lived deciduous,alder
594909.9633,5913041.023,broadleaf,short-lived deciduous,alder
645760.9786,5877947.104,broadleaf,short-lived deciduous,alder
607813.2381,5871207.571,broadleaf,short-lived deciduous,alder
633492.1342,5863629.471,broadleaf,short-lived deciduous,alder
579369.3746,5883524.174,broadleaf,short-lived deciduous,alder
536444.7983,5880431.371,broadleaf,short-lived deciduous,alder
640970.6549,5864204.438,broadleaf,short-lived deciduous,alder
536804.7522,5880200.498,broadleaf,short-lived deciduous,alder
584496.5263,5904639.876,broadleaf,short-lived deciduous,alder
533969.5107,5917174.766,broadleaf,short-lived deciduous,alder
579297.5518,5868842.344,broadleaf,short-lived deciduous,alder
649577.2652,5878122.058,broadleaf,short-lived deciduous,alder
525218.0467,5887933.973,broadleaf,short-lived deciduous,alder
588977.4811,5871853.981,broadleaf,short-lived deciduous,alder
660138.597,5866863.49,broadleaf,short-lived deciduous,alder
651623.7705,5879231.201,broadleaf,short-lived deciduous,alder
582117.1664,5908011.395,broadleaf,short-lived deciduous,alder
536525.3792,5880451.607,broadleaf,short-lived deciduous,alder
580041.4758,5883327.388,broadleaf,short-lived deciduous,alder
589010.0578,5873348.972,broadleaf,short-lived deciduous,alder
535785.5268,5880614.858,broadleaf,short-lived deciduous,alder
580131.3679,5883291.423,broadleaf,short-lived deciduous,alder
536870.1536,5922702.09,broadleaf,short-lived deciduous,alder
648724.9693,5877430.477,broadleaf,short-lived deciduous,alder
660633.475,5866804.922,broadleaf,short-lived deciduous,alder
597370.2312,5890219.6,broadleaf,short-lived deciduous,alder
651892.7226,5882195.895,broadleaf,short-lived deciduous,alder
589122.1496,5873672.665,broadleaf,short-lived deciduous,alder
532361.0548,5920383.096,broadleaf,short-lived deciduous,alder
600610.3938,5881353.046,broadleaf,short-lived deciduous,alder
588839.9489,5872860.035,broadleaf,short-lived deciduous,alder
580385.1042,5880713.154,broadleaf,short-lived deciduous,alder
580342.0855,5880616.811,broadleaf,short-lived deciduous,alder
582759.4974,5907524.55,broadleaf,short-lived deciduous,alder
536143.3324,5881723.236,broadleaf,short-lived deciduous,alder
649944.6522,5879187.524,broadleaf,short-lived deciduous,alder
580504.8439,5880243.06,broadleaf,short-lived deciduous,alder
583042.8375,5907954.968,broadleaf,short-lived deciduous,alder
583590.0004,5905590.211,broadleaf,short-lived deciduous,alder
589021.1537,5873685.94,broadleaf,short-lived deciduous,alder
652149.2023,5882253.517,broadleaf,short-lived deciduous,alder
638916.3344,5864341.038,broadleaf,short-lived deciduous,alder
566595.3957,5889578.188,broadleaf,short-lived deciduous,alder
649622.0799,5878349.598,broadleaf,short-lived deciduous,alder
608148.3741,5870965.366,broadleaf,short-lived deciduous,alder
622500.9606,5895730.396,broadleaf,short-lived deciduous,alder
661501.6045,5879113.281,broadleaf,short-lived deciduous,alder
600902.3489,5905497.94,broadleaf,short-lived deciduous,alder
536525.0026,5880351.194,broadleaf,short-lived deciduous,alder
588762.0627,5873686.146,broadleaf,short-lived deciduous,alder
651744.1172,5879119.57,broadleaf,short-lived deciduous,alder
605670.1392,5884238.873,broadleaf,short-lived deciduous,alder
613389.6022,5880734.212,broadleaf,short-lived deciduous,alder
638361.7071,5877499.328,broadleaf,short-lived deciduous,alder
649627.2082,5877761.59,broadleaf,short-lived deciduous,alder
651455.9499,5881817.363,broadleaf,short-lived deciduous,alder
579348.3848,5868801.125,broadleaf,short-lived deciduous,alder
648880.2866,5872565.309,broadleaf,short-lived deciduous,alder
578991.3841,5867806.239,broadleaf,short-lived deciduous,alder
610596.7472,5908248.165,broadleaf,short-lived deciduous,alder
649718.7173,5878814.761,broadleaf,short-lived deciduous,alder
583146.9164,5907217.556,broadleaf,short-lived deciduous,alder
660975.6207,5866538.032,broadleaf,short-lived deciduous,alder
579985.4561,5883510.606,broadleaf,short-lived deciduous,alder
649242.13,5877120.492,broadleaf,short-lived deciduous,alder
583291.9868,5906095.903,broadleaf,short-lived deciduous,alder
532502.4376,5920405.075,broadleaf,short-lived deciduous,alder
579383.2773,5872260.684,broadleaf,short-lived deciduous,alder
650973.8026,5880009.746,broadleaf,short-lived deciduous,alder
632662.1569,5864595.059,broadleaf,short-lived deciduous,alder
536692.2047,5879876.191,broadleaf,short-lived deciduous,alder
582860.5551,5907326.968,broadleaf,short-lived deciduous,alder
598510.3687,5912083.008,broadleaf,short-lived deciduous,alder
649723.884,5878408.749,broadleaf,short-lived deciduous,alder
662282.9369,5866206.429,broadleaf,short-lived deciduous,alder
578021.9827,5866136.278,broadleaf,short-lived deciduous,alder
610613.4034,5908402.711,broadleaf,short-lived deciduous,alder
539539.9372,5876467.244,broadleaf,short-lived deciduous,alder
536523.6036,5880644.144,broadleaf,short-lived deciduous,alder
651715.4163,5870484.827,broadleaf,short-lived deciduous,alder
579320.0928,5872017.898,broadleaf,short-lived deciduous,alder
533131.1277,5924999.117,broadleaf,short-lived deciduous,alder
537408.767,5903144.362,broadleaf,short-lived deciduous,alder
578578.549,5867046.096,broadleaf,short-lived deciduous,alder
538948.0418,5871419.309,broadleaf,short-lived deciduous,alder
535678.1458,5881001.18,broadleaf,short-lived deciduous,alder
633877.2728,5864701.54,broadleaf,short-lived deciduous,alder
535705.2256,5907869.627,broadleaf,short-lived deciduous,alder
662380.2656,5865539.258,broadleaf,short-lived deciduous,alder
582725.2817,5907543.042,broadleaf,short-lived deciduous,alder
583650.4653,5905553.389,broadleaf,short-lived deciduous,alder
589111.1463,5873479.335,broadleaf,short-lived deciduous,alder
598297.1254,5909576.182,broadleaf,short-lived deciduous,alder
524273.7328,5884847.914,broadleaf,short-lived deciduous,alder
652771.342,5870214.473,broadleaf,short-lived deciduous,alder
584327.9617,5904161.887,broadleaf,short-lived deciduous,alder
651293.2445,5880084.225,broadleaf,short-lived deciduous,alder
599163.1468,5911708.237,broadleaf,short-lived deciduous,alder
538714.9068,5871409.282,broadleaf,short-lived deciduous,alder
650940.8119,5871433.561,broadleaf,short-lived deciduous,alder
596993.2998,5889864.335,broadleaf,short-lived deciduous,alder
662516.249,5866240.057,broadleaf,short-lived deciduous,alder
525301.379,5887891.996,broadleaf,short-lived deciduous,alder
537043.9149,5880417.657,broadleaf,short-lived deciduous,alder
583172.7536,5908059.869,broadleaf,short-lived deciduous,alder
660632.4486,5866708.774,broadleaf,short-lived deciduous,alder
582526.5115,5907937.117,broadleaf,short-lived deciduous,alder
650709.6831,5879946.255,broadleaf,short-lived deciduous,alder
525199.051,5885006.826,broadleaf,short-lived deciduous,alder
638711.914,5865320.574,broadleaf,short-lived deciduous,alder
633370.0379,5863204.386,broadleaf,short-lived deciduous,alder
649852.7375,5879048.242,broadleaf,short-lived deciduous,alder
579365.6701,5868976.041,broadleaf,short-lived deciduous,alder
525715.3151,5886806.105,broadleaf,short-lived deciduous,alder
661509.5696,5879025.024,broadleaf,short-lived deciduous,alder
650096.4876,5879404.966,broadleaf,short-lived deciduous,alder
579459.6098,5869236.509,broadleaf,short-lived deciduous,alder
540195.571,5876104.657,broadleaf,short-lived deciduous,alder
662249.5255,5865730.606,broadleaf,short-lived deciduous,alder
579435.2354,5872310.231,broadleaf,short-lived deciduous,alder
645272.7101,5876291.34,broadleaf,short-lived deciduous,alder
647768.9451,5880867.63,broadleaf,short-lived deciduous,alder
580581.5127,5883135.434,broadleaf,short-lived deciduous,alder
578639.8498,5867177.334,broadleaf,short-lived deciduous,alder
583060.5471,5907275.302,broadleaf,short-lived deciduous,alder
539985.2944,5876196.234,broadleaf,short-lived deciduous,alder
589956.4191,5880714.388,broadleaf,short-lived deciduous,alder
649312.4511,5877337.46,broadleaf,short-lived deciduous,alder
525143.423,5884917.85,broadleaf,short-lived deciduous,alder
610187.7879,5907967.8,broadleaf,short-lived deciduous,alder
539934.3844,5877004.723,broadleaf,short-lived deciduous,alder
647728.4564,5880774.526,broadleaf,short-lived deciduous,alder
600533.4135,5881346.629,broadleaf,short-lived deciduous,alder
661117.9034,5865814.473,broadleaf,short-lived deciduous,alder
583840.3047,5906146.44,broadleaf,short-lived deciduous,alder
644992.8131,5885994.825,broadleaf,short-lived deciduous,alder
582257.5351,5907482.967,broadleaf,short-lived deciduous,alder
647291.686,5875341.688,broadleaf,short-lived deciduous,alder
583165.3646,5907204.926,broadleaf,short-lived deciduous,alder
532383.8334,5920403.203,broadleaf,short-lived deciduous,alder
579090.4767,5871462.157,broadleaf,short-lived deciduous,alder
524719.4531,5884647.97,broadleaf,short-lived deciduous,alder
587595.7823,5908567.873,broadleaf,short-lived deciduous,alder
527243.8209,5877400.103,broadleaf,short-lived deciduous,alder
647538.1831,5876011.793,broadleaf,short-lived deciduous,alder
649273.638,5872585.315,broadleaf,short-lived deciduous,alder
600485.1695,5881329.826,broadleaf,short-lived deciduous,alder
588379.0073,5873609.344,broadleaf,short-lived deciduous,alder
649739.4201,5879193.501,broadleaf,short-lived deciduous,alder
582759.7732,5907594.325,broadleaf,short-lived deciduous,alder
531198.9401,5879291.86,broadleaf,short-lived deciduous,alder
537601.8565,5880682.894,broadleaf,short-lived deciduous,alder
662093.5849,5878980.86,broadleaf,short-lived deciduous,alder
651405.5219,5880070.091,broadleaf,short-lived deciduous,alder
649353.8305,5872592.324,broadleaf,short-lived deciduous,alder
584098.1864,5905920.087,broadleaf,short-lived deciduous,alder
607350.3894,5872566.431,broadleaf,short-lived deciduous,alder
584966.6266,5909677.548,broadleaf,short-lived deciduous,alder
584992.5042,5909234.874,broadleaf,short-lived deciduous,alder
649278.3589,5879070.7,broadleaf,short-lived deciduous,alder
541564.6623,5925452.021,broadleaf,short-lived deciduous,alder
651192.2063,5871093.574,broadleaf,short-lived deciduous,alder
535683.6554,5881672.462,broadleaf,short-lived deciduous,alder
644866.0566,5886248.495,broadleaf,short-lived deciduous,alder
580512.4774,5882023.633,broadleaf,short-lived deciduous,alder
524023.8937,5884874.841,broadleaf,short-lived deciduous,alder
579334.6867,5869346.977,broadleaf,short-lived deciduous,alder
536775.743,5880228.809,broadleaf,short-lived deciduous,alder
644549.6303,5886532.305,broadleaf,short-lived deciduous,alder
598377.7507,5909593.016,broadleaf,short-lived deciduous,alder
536435.2833,5880668.185,broadleaf,short-lived deciduous,alder
582243.3303,5907330.16,broadleaf,short-lived deciduous,alder
582355.8326,5907092.508,broadleaf,short-lived deciduous,alder
610689.401,5908264.773,broadleaf,short-lived deciduous,alder
524402.3615,5884740.794,broadleaf,short-lived deciduous,alder
651711.8117,5870376.792,broadleaf,short-lived deciduous,alder
662200.7179,5865012.118,broadleaf,short-lived deciduous,alder
540222.4215,5875807.154,broadleaf,short-lived deciduous,alder
588239.2752,5873553.036,broadleaf,short-lived deciduous,alder
646184.6276,5878139.82,broadleaf,short-lived deciduous,alder
649811.1725,5878429.478,broadleaf,short-lived deciduous,alder
536951.9217,5880343.149,broadleaf,short-lived deciduous,alder
537790.6859,5909518.561,broadleaf,short-lived deciduous,alder
580420.6842,5882786.761,broadleaf,short-lived deciduous,alder
532278.9876,5921967.022,broadleaf,short-lived deciduous,alder
557159.2899,5889951.113,broadleaf,short-lived deciduous,alder
645664.3111,5877769.505,broadleaf,short-lived deciduous,alder
583005.0141,5907060.359,broadleaf,short-lived deciduous,alder
523774.1198,5883761.285,broadleaf,short-lived deciduous,alder
648973.4108,5878936.527,broadleaf,short-lived deciduous,alder
565496.1465,5889697.236,broadleaf,short-lived deciduous,alder
649053.1715,5877395.51,broadleaf,short-lived deciduous,alder
525352.2539,5885233.156,broadleaf,short-lived deciduous,alder
651619.5931,5882215.117,broadleaf,short-lived deciduous,alder
533014.3784,5907340.989,broadleaf,short-lived deciduous,alder
526446.2187,5886355.829,broadleaf,short-lived deciduous,alder
581584.0795,5879763.127,broadleaf,short-lived deciduous,alder
582141.7172,5908014.472,broadleaf,short-lived deciduous,alder
662643.3769,5865769.21,broadleaf,short-lived deciduous,alder
580420.5514,5882814.642,broadleaf,short-lived deciduous,alder
660626.5568,5866735.859,broadleaf,short-lived deciduous,alder
662091.3727,5865797.94,broadleaf,short-lived deciduous,alder
661345.7516,5879116.975,broadleaf,short-lived deciduous,alder
662222.8915,5865654.969,broadleaf,short-lived deciduous,alder
634242.202,5864226.979,broadleaf,short-lived deciduous,alder
